,rasa1,rasa2,rasa3,rasa4,rasa5
rasa1,4,0,0,0,0
rasa2,0,4,0,0,0
rasa3,3,1,0,0,0
rasa4,1,0,0,3,0
rasa5,1,0,0,1,2
